,crystal,det_no,energy,rotation,tilt,filename,ql_mean,ql_abs_uncert,tof_mean,tof_abs_uncert,qs_mean,qs_abs_uncert,counts,rot_order
103,cpvert,5,11,325,0,cpvert_11MeV_0tilt_325rot_det5.npy,4.2572,0.0135,25.0278,0.0993,2.8722,0.0111,138.0,1
115,cpvert,5,11,335,0,cpvert_11MeV_0tilt_335rot_det5.npy,4.2759,0.0174,24.8625,0.1059,2.8876,0.013,133.0,2
127,cpvert,5,11,345,0,cpvert_11MeV_0tilt_345rot_det5.npy,4.2846,0.0148,25.1015,0.0943,2.8869,0.0109,151.0,3
139,cpvert,5,11,355,0,cpvert_11MeV_0tilt_355rot_det5.npy,4.2673,0.0147,25.0419,0.0997,2.8837,0.0117,130.0,4
187,cpvert,5,11,5,0,cpvert_11MeV_0tilt_5rot_det5.npy,4.2599,0.0146,25.0217,0.1051,2.8832,0.0116,125.0,5
67,cpvert,5,11,15,0,cpvert_11MeV_0tilt_15rot_det5.npy,4.2489,0.014,25.1863,0.1018,2.8965,0.013,111.0,6
79,cpvert,5,11,25,0,cpvert_11MeV_0tilt_25rot_det5.npy,4.2851,0.0128,25.4617,0.1235,2.9285,0.0121,92.0,7
151,cpvert,5,11,35,0,cpvert_11MeV_0tilt_35rot_det5.npy,4.1402,0.0135,24.8863,0.1042,2.839,0.0109,153.0,8
163,cpvert,5,11,45,0,cpvert_11MeV_0tilt_45rot_det5.npy,4.1131,0.0153,24.963,0.1047,2.8248,0.0119,133.0,9
175,cpvert,5,11,55,0,cpvert_11MeV_0tilt_55rot_det5.npy,4.1147,0.0139,25.1993,0.1013,2.834,0.0114,137.0,10
199,cpvert,5,11,65,0,cpvert_11MeV_0tilt_65rot_det5.npy,4.1008,0.0137,25.0895,0.1154,2.8263,0.0116,136.0,11
211,cpvert,5,11,75,0,cpvert_11MeV_0tilt_75rot_det5.npy,4.0851,0.0141,25.1653,0.1017,2.8173,0.0122,144.0,12
223,cpvert,5,11,85,0,cpvert_11MeV_0tilt_85rot_det5.npy,4.063,0.0147,24.8748,0.0984,2.7879,0.0117,151.0,13
235,cpvert,5,11,95,0,cpvert_11MeV_0tilt_95rot_det5.npy,4.122,0.0121,25.1388,0.099,2.8285,0.0091,162.0,14
7,cpvert,5,11,105,0,cpvert_11MeV_0tilt_105rot_det5.npy,4.1183,0.0131,25.0002,0.1036,2.8288,0.0108,142.0,15
19,cpvert,5,11,115,0,cpvert_11MeV_0tilt_115rot_det5.npy,4.1382,0.0156,24.9296,0.1001,2.8384,0.0126,116.0,16
31,cpvert,5,11,125,0,cpvert_11MeV_0tilt_125rot_det5.npy,4.1702,0.0134,25.1924,0.1025,2.8477,0.0106,142.0,17
43,cpvert,5,11,135,0,cpvert_11MeV_0tilt_135rot_det5.npy,4.1865,0.0152,25.0402,0.0968,2.8383,0.0109,163.0,18
55,cpvert,5,11,145,0,cpvert_11MeV_0tilt_145rot_det5.npy,4.2641,0.0131,25.2611,0.1056,2.8829,0.0109,118.0,19
92,cpvert,6,11,315,0,cpvert_11MeV_0tilt_315rot_det6.npy,3.0246,0.0141,19.7534,0.0561,2.0131,0.0104,161.0,0
104,cpvert,6,11,325,0,cpvert_11MeV_0tilt_325rot_det6.npy,3.0194,0.0129,19.6554,0.0567,1.9912,0.0099,160.0,1
116,cpvert,6,11,335,0,cpvert_11MeV_0tilt_335rot_det6.npy,3.0598,0.0107,19.6368,0.0554,2.016,0.0082,169.0,2
128,cpvert,6,11,345,0,cpvert_11MeV_0tilt_345rot_det6.npy,3.0654,0.0124,19.7825,0.0589,2.013,0.0084,163.0,3
140,cpvert,6,11,355,0,cpvert_11MeV_0tilt_355rot_det6.npy,3.0678,0.0131,19.7829,0.0582,2.0224,0.0102,142.0,4
188,cpvert,6,11,5,0,cpvert_11MeV_0tilt_5rot_det6.npy,3.0397,0.013,19.6078,0.0585,1.9942,0.0095,148.0,5
68,cpvert,6,11,15,0,cpvert_11MeV_0tilt_15rot_det6.npy,3.0447,0.0126,19.6782,0.0599,2.0109,0.0094,146.0,6
80,cpvert,6,11,25,0,cpvert_11MeV_0tilt_25rot_det6.npy,3.0047,0.0135,19.6609,0.0593,1.9874,0.0101,138.0,7
152,cpvert,6,11,35,0,cpvert_11MeV_0tilt_35rot_det6.npy,3.0047,0.0131,19.8784,0.0604,2.0024,0.0103,156.0,8
164,cpvert,6,11,45,0,cpvert_11MeV_0tilt_45rot_det6.npy,2.9597,0.013,19.6627,0.0629,1.9798,0.0107,136.0,9
176,cpvert,6,11,55,0,cpvert_11MeV_0tilt_55rot_det6.npy,2.9437,0.0117,19.7414,0.0512,1.9739,0.009,175.0,10
200,cpvert,6,11,65,0,cpvert_11MeV_0tilt_65rot_det6.npy,2.9249,0.0124,19.6974,0.0585,1.9619,0.0101,151.0,11
212,cpvert,6,11,75,0,cpvert_11MeV_0tilt_75rot_det6.npy,2.904,0.0115,19.7103,0.058,1.9497,0.0087,160.0,12
224,cpvert,6,11,85,0,cpvert_11MeV_0tilt_85rot_det6.npy,2.9067,0.0127,19.7318,0.0552,1.9562,0.0096,164.0,13
236,cpvert,6,11,95,0,cpvert_11MeV_0tilt_95rot_det6.npy,2.8968,0.0114,19.6464,0.0581,1.9468,0.0092,164.0,14
8,cpvert,6,11,105,0,cpvert_11MeV_0tilt_105rot_det6.npy,2.9014,0.0131,19.6974,0.059,1.9499,0.0103,148.0,15
20,cpvert,6,11,115,0,cpvert_11MeV_0tilt_115rot_det6.npy,2.8869,0.0137,19.7368,0.0588,1.9375,0.0105,155.0,16
32,cpvert,6,11,125,0,cpvert_11MeV_0tilt_125rot_det6.npy,2.9439,0.0114,19.726,0.0541,1.9694,0.0091,155.0,17
44,cpvert,6,11,135,0,cpvert_11MeV_0tilt_135rot_det6.npy,2.9366,0.0129,19.691,0.057,1.9558,0.0104,161.0,18
56,cpvert,6,11,145,0,cpvert_11MeV_0tilt_145rot_det6.npy,3.0187,0.0115,19.6983,0.0665,2.0023,0.0087,127.0,19
93,cpvert,7,11,315,0,cpvert_11MeV_0tilt_315rot_det7.npy,1.8136,0.0108,17.8956,0.0454,1.1575,0.0073,173.0,0
105,cpvert,7,11,325,0,cpvert_11MeV_0tilt_325rot_det7.npy,1.8149,0.0123,17.9584,0.0403,1.1536,0.0086,172.0,1
117,cpvert,7,11,335,0,cpvert_11MeV_0tilt_335rot_det7.npy,1.8371,0.0107,17.9254,0.0429,1.1676,0.0076,158.0,2
129,cpvert,7,11,345,0,cpvert_11MeV_0tilt_345rot_det7.npy,1.8335,0.0119,17.8437,0.0443,1.1603,0.0082,166.0,3
141,cpvert,7,11,355,0,cpvert_11MeV_0tilt_355rot_det7.npy,1.9283,0.0096,18.0569,0.0454,1.2227,0.0071,147.0,4
189,cpvert,7,11,5,0,cpvert_11MeV_0tilt_5rot_det7.npy,1.8669,0.0102,17.8621,0.0446,1.1841,0.0075,155.0,5
69,cpvert,7,11,15,0,cpvert_11MeV_0tilt_15rot_det7.npy,1.8947,0.0104,17.9049,0.0487,1.2092,0.0077,145.0,6
81,cpvert,7,11,25,0,cpvert_11MeV_0tilt_25rot_det7.npy,1.8747,0.0078,17.9596,0.0484,1.1886,0.006,122.0,7
153,cpvert,7,11,35,0,cpvert_11MeV_0tilt_35rot_det7.npy,1.8227,0.0107,17.9394,0.0459,1.1602,0.0079,160.0,8
165,cpvert,7,11,45,0,cpvert_11MeV_0tilt_45rot_det7.npy,1.8185,0.0102,17.9655,0.0415,1.1649,0.0074,170.0,9
177,cpvert,7,11,55,0,cpvert_11MeV_0tilt_55rot_det7.npy,1.8002,0.0109,17.9945,0.0452,1.1507,0.0079,162.0,10
201,cpvert,7,11,65,0,cpvert_11MeV_0tilt_65rot_det7.npy,1.8173,0.0104,17.9813,0.0435,1.1656,0.0075,153.0,11
213,cpvert,7,11,75,0,cpvert_11MeV_0tilt_75rot_det7.npy,1.7841,0.0098,17.9756,0.0411,1.1487,0.0072,196.0,12
225,cpvert,7,11,85,0,cpvert_11MeV_0tilt_85rot_det7.npy,1.7869,0.0103,18.0184,0.0439,1.1558,0.0073,175.0,13
237,cpvert,7,11,95,0,cpvert_11MeV_0tilt_95rot_det7.npy,1.7751,0.0107,17.9431,0.038,1.1458,0.0077,172.0,14
9,cpvert,7,11,105,0,cpvert_11MeV_0tilt_105rot_det7.npy,1.784,0.0106,17.9897,0.04,1.1527,0.0074,178.0,15
21,cpvert,7,11,115,0,cpvert_11MeV_0tilt_115rot_det7.npy,1.7872,0.0095,17.9508,0.0402,1.1492,0.0069,182.0,16
33,cpvert,7,11,125,0,cpvert_11MeV_0tilt_125rot_det7.npy,1.8055,0.0092,18.0566,0.0437,1.1579,0.0066,131.0,17
45,cpvert,7,11,135,0,cpvert_11MeV_0tilt_135rot_det7.npy,1.7968,0.0096,17.8914,0.0412,1.1558,0.007,179.0,18
57,cpvert,7,11,145,0,cpvert_11MeV_0tilt_145rot_det7.npy,1.8054,0.0102,17.845,0.039,1.1584,0.0077,193.0,19
94,cpvert,8,11,315,0,cpvert_11MeV_0tilt_315rot_det8.npy,0.8672,0.0068,19.2373,0.0289,0.5215,0.0048,187.0,0
106,cpvert,8,11,325,0,cpvert_11MeV_0tilt_325rot_det8.npy,0.8874,0.0071,19.28,0.031,0.5339,0.0047,175.0,1
118,cpvert,8,11,335,0,cpvert_11MeV_0tilt_335rot_det8.npy,0.8888,0.0081,19.289,0.0305,0.536,0.0055,172.0,2
130,cpvert,8,11,345,0,cpvert_11MeV_0tilt_345rot_det8.npy,0.8809,0.0077,19.202,0.0307,0.5286,0.0051,163.0,3
142,cpvert,8,11,355,0,cpvert_11MeV_0tilt_355rot_det8.npy,0.8968,0.0074,19.2438,0.0297,0.5391,0.0049,180.0,4
190,cpvert,8,11,5,0,cpvert_11MeV_0tilt_5rot_det8.npy,0.9187,0.0076,19.1874,0.0343,0.5532,0.0048,149.0,5
70,cpvert,8,11,15,0,cpvert_11MeV_0tilt_15rot_det8.npy,0.9265,0.0081,19.1791,0.0322,0.5568,0.0053,171.0,6
82,cpvert,8,11,25,0,cpvert_11MeV_0tilt_25rot_det8.npy,0.9025,0.0075,19.2553,0.0301,0.5426,0.0049,162.0,7
154,cpvert,8,11,35,0,cpvert_11MeV_0tilt_35rot_det8.npy,0.8955,0.0069,19.2367,0.0335,0.5384,0.0047,175.0,8
166,cpvert,8,11,45,0,cpvert_11MeV_0tilt_45rot_det8.npy,0.8904,0.0071,19.2671,0.0333,0.5354,0.0047,149.0,9
178,cpvert,8,11,55,0,cpvert_11MeV_0tilt_55rot_det8.npy,0.8946,0.007,19.2652,0.0323,0.5422,0.0048,158.0,10
202,cpvert,8,11,65,0,cpvert_11MeV_0tilt_65rot_det8.npy,0.8704,0.0066,19.2373,0.0293,0.5261,0.0043,163.0,11
214,cpvert,8,11,75,0,cpvert_11MeV_0tilt_75rot_det8.npy,0.8716,0.007,19.2631,0.0295,0.5288,0.0047,180.0,12
226,cpvert,8,11,85,0,cpvert_11MeV_0tilt_85rot_det8.npy,0.8795,0.0071,19.2687,0.0323,0.5347,0.005,155.0,13
238,cpvert,8,11,95,0,cpvert_11MeV_0tilt_95rot_det8.npy,0.8796,0.0068,19.3312,0.0314,0.5317,0.0046,136.0,14
10,cpvert,8,11,105,0,cpvert_11MeV_0tilt_105rot_det8.npy,0.8763,0.0073,19.314,0.028,0.5352,0.0049,165.0,15
22,cpvert,8,11,115,0,cpvert_11MeV_0tilt_115rot_det8.npy,0.8516,0.008,19.3104,0.0352,0.5174,0.0051,137.0,16
34,cpvert,8,11,125,0,cpvert_11MeV_0tilt_125rot_det8.npy,0.8602,0.0072,19.2698,0.0335,0.5212,0.0049,167.0,17
46,cpvert,8,11,135,0,cpvert_11MeV_0tilt_135rot_det8.npy,0.8781,0.0074,19.3641,0.0339,0.5313,0.005,162.0,18
58,cpvert,8,11,145,0,cpvert_11MeV_0tilt_145rot_det8.npy,0.8689,0.0066,19.2431,0.0284,0.5274,0.0044,191.0,19
95,cpvert,9,11,315,0,cpvert_11MeV_0tilt_315rot_det9.npy,0.2842,0.0044,17.7445,0.0388,0.1571,0.0026,168.0,0
107,cpvert,9,11,325,0,cpvert_11MeV_0tilt_325rot_det9.npy,0.2872,0.0038,17.8532,0.0365,0.1585,0.0021,173.0,1
119,cpvert,9,11,335,0,cpvert_11MeV_0tilt_335rot_det9.npy,0.2855,0.0041,17.7907,0.0392,0.1585,0.0023,159.0,2
131,cpvert,9,11,345,0,cpvert_11MeV_0tilt_345rot_det9.npy,0.2947,0.0038,17.7764,0.0419,0.1634,0.0023,158.0,3
143,cpvert,9,11,355,0,cpvert_11MeV_0tilt_355rot_det9.npy,0.2925,0.0039,17.7261,0.0409,0.1635,0.0023,154.0,4
191,cpvert,9,11,5,0,cpvert_11MeV_0tilt_5rot_det9.npy,0.3019,0.0043,17.7557,0.0413,0.1695,0.0026,152.0,5
71,cpvert,9,11,15,0,cpvert_11MeV_0tilt_15rot_det9.npy,0.3033,0.0043,17.7588,0.0372,0.1699,0.0024,166.0,6
83,cpvert,9,11,25,0,cpvert_11MeV_0tilt_25rot_det9.npy,0.2966,0.0038,17.686,0.0416,0.1678,0.0022,172.0,7
155,cpvert,9,11,35,0,cpvert_11MeV_0tilt_35rot_det9.npy,0.2942,0.0041,17.7604,0.0377,0.1649,0.0023,159.0,8
167,cpvert,9,11,45,0,cpvert_11MeV_0tilt_45rot_det9.npy,0.3013,0.0035,17.7949,0.0395,0.1693,0.0021,175.0,9
179,cpvert,9,11,55,0,cpvert_11MeV_0tilt_55rot_det9.npy,0.2949,0.0041,17.7562,0.0387,0.1658,0.0023,169.0,10
203,cpvert,9,11,65,0,cpvert_11MeV_0tilt_65rot_det9.npy,0.2858,0.0039,17.8499,0.0381,0.1595,0.0023,180.0,11
215,cpvert,9,11,75,0,cpvert_11MeV_0tilt_75rot_det9.npy,0.2842,0.0041,17.8251,0.0361,0.1596,0.0025,163.0,12
227,cpvert,9,11,85,0,cpvert_11MeV_0tilt_85rot_det9.npy,0.2876,0.0036,17.8552,0.0351,0.1603,0.0021,197.0,13
239,cpvert,9,11,95,0,cpvert_11MeV_0tilt_95rot_det9.npy,0.2893,0.0034,17.7898,0.0335,0.163,0.002,203.0,14
11,cpvert,9,11,105,0,cpvert_11MeV_0tilt_105rot_det9.npy,0.289,0.0037,17.8543,0.0408,0.162,0.0022,176.0,15
23,cpvert,9,11,115,0,cpvert_11MeV_0tilt_115rot_det9.npy,0.2896,0.0036,17.8671,0.0402,0.1636,0.0021,169.0,16
35,cpvert,9,11,125,0,cpvert_11MeV_0tilt_125rot_det9.npy,0.2896,0.0037,17.8165,0.0357,0.1639,0.0022,169.0,17
47,cpvert,9,11,135,0,cpvert_11MeV_0tilt_135rot_det9.npy,0.2867,0.0035,17.7926,0.0365,0.1622,0.0021,185.0,18
59,cpvert,9,11,145,0,cpvert_11MeV_0tilt_145rot_det9.npy,0.2895,0.0035,17.8315,0.0377,0.1646,0.002,177.0,19
84,cpvert,10,11,315,0,cpvert_11MeV_0tilt_315rot_det10.npy,0.2902,0.0032,15.8741,0.0363,0.1614,0.0019,208.0,0
96,cpvert,10,11,325,0,cpvert_11MeV_0tilt_325rot_det10.npy,0.2903,0.0036,15.9026,0.0389,0.16,0.0021,174.0,1
108,cpvert,10,11,335,0,cpvert_11MeV_0tilt_335rot_det10.npy,0.2926,0.004,15.9707,0.0404,0.1621,0.0023,168.0,2
120,cpvert,10,11,345,0,cpvert_11MeV_0tilt_345rot_det10.npy,0.2941,0.0036,16.0361,0.0397,0.1627,0.0021,170.0,3
132,cpvert,10,11,355,0,cpvert_11MeV_0tilt_355rot_det10.npy,0.2857,0.0035,15.8909,0.038,0.1586,0.0021,187.0,4
180,cpvert,10,11,5,0,cpvert_11MeV_0tilt_5rot_det10.npy,0.3125,0.0031,15.9716,0.0396,0.1747,0.0019,148.0,5
60,cpvert,10,11,15,0,cpvert_11MeV_0tilt_15rot_det10.npy,0.2922,0.0033,15.9369,0.0338,0.1639,0.002,194.0,6
72,cpvert,10,11,25,0,cpvert_11MeV_0tilt_25rot_det10.npy,0.2893,0.0035,15.8463,0.0464,0.162,0.0021,176.0,7
144,cpvert,10,11,35,0,cpvert_11MeV_0tilt_35rot_det10.npy,0.2934,0.0034,15.947,0.0399,0.165,0.002,192.0,8
156,cpvert,10,11,45,0,cpvert_11MeV_0tilt_45rot_det10.npy,0.2981,0.004,15.9605,0.0434,0.1686,0.0024,152.0,9
168,cpvert,10,11,55,0,cpvert_11MeV_0tilt_55rot_det10.npy,0.2932,0.0036,15.9079,0.041,0.1652,0.0021,175.0,10
192,cpvert,10,11,65,0,cpvert_11MeV_0tilt_65rot_det10.npy,0.2972,0.0039,15.9584,0.0421,0.1683,0.0022,156.0,11
204,cpvert,10,11,75,0,cpvert_11MeV_0tilt_75rot_det10.npy,0.2948,0.0032,15.9055,0.0425,0.1658,0.002,183.0,12
216,cpvert,10,11,85,0,cpvert_11MeV_0tilt_85rot_det10.npy,0.2929,0.0034,15.8725,0.0413,0.1655,0.002,183.0,13
228,cpvert,10,11,95,0,cpvert_11MeV_0tilt_95rot_det10.npy,0.2932,0.0037,15.8942,0.0369,0.1671,0.0022,183.0,14
0,cpvert,10,11,105,0,cpvert_11MeV_0tilt_105rot_det10.npy,0.2883,0.0033,15.9758,0.0407,0.1638,0.002,186.0,15
12,cpvert,10,11,115,0,cpvert_11MeV_0tilt_115rot_det10.npy,0.288,0.0036,15.9079,0.0392,0.163,0.0021,185.0,16
24,cpvert,10,11,125,0,cpvert_11MeV_0tilt_125rot_det10.npy,0.2919,0.0036,15.978,0.0419,0.1642,0.0021,174.0,17
36,cpvert,10,11,135,0,cpvert_11MeV_0tilt_135rot_det10.npy,0.2886,0.0033,15.8764,0.0378,0.1637,0.002,153.0,18
48,cpvert,10,11,145,0,cpvert_11MeV_0tilt_145rot_det10.npy,0.2934,0.0033,15.9567,0.0347,0.1652,0.0019,204.0,19
85,cpvert,11,11,315,0,cpvert_11MeV_0tilt_315rot_det11.npy,0.8924,0.0078,20.0554,0.0329,0.5392,0.0051,168.0,0
97,cpvert,11,11,325,0,cpvert_11MeV_0tilt_325rot_det11.npy,0.8982,0.0073,20.0709,0.0304,0.5409,0.0048,161.0,1
109,cpvert,11,11,335,0,cpvert_11MeV_0tilt_335rot_det11.npy,0.8726,0.0065,20.0549,0.0289,0.5255,0.0043,187.0,2
121,cpvert,11,11,345,0,cpvert_11MeV_0tilt_345rot_det11.npy,0.8528,0.0074,20.0681,0.0362,0.5142,0.005,124.0,3
133,cpvert,11,11,355,0,cpvert_11MeV_0tilt_355rot_det11.npy,0.8806,0.0073,20.1013,0.0324,0.5309,0.005,160.0,4
181,cpvert,11,11,5,0,cpvert_11MeV_0tilt_5rot_det11.npy,0.8795,0.0071,20.0457,0.0304,0.5333,0.0047,170.0,5
61,cpvert,11,11,15,0,cpvert_11MeV_0tilt_15rot_det11.npy,0.8902,0.0066,20.0475,0.0324,0.5393,0.0047,142.0,6
73,cpvert,11,11,25,0,cpvert_11MeV_0tilt_25rot_det11.npy,0.8822,0.0069,20.011,0.0304,0.5328,0.0046,152.0,7
145,cpvert,11,11,35,0,cpvert_11MeV_0tilt_35rot_det11.npy,0.8731,0.0072,19.9725,0.0341,0.5255,0.0047,151.0,8
157,cpvert,11,11,45,0,cpvert_11MeV_0tilt_45rot_det11.npy,0.8947,0.007,20.0886,0.0359,0.5396,0.0048,164.0,9
169,cpvert,11,11,55,0,cpvert_11MeV_0tilt_55rot_det11.npy,0.8977,0.0071,20.0252,0.0346,0.541,0.0048,155.0,10
193,cpvert,11,11,65,0,cpvert_11MeV_0tilt_65rot_det11.npy,0.9393,0.007,20.0483,0.0345,0.5641,0.0047,155.0,11
205,cpvert,11,11,75,0,cpvert_11MeV_0tilt_75rot_det11.npy,0.915,0.0077,19.9914,0.0336,0.5508,0.0051,154.0,12
217,cpvert,11,11,85,0,cpvert_11MeV_0tilt_85rot_det11.npy,0.9151,0.0075,20.0118,0.0348,0.5486,0.0051,148.0,13
229,cpvert,11,11,95,0,cpvert_11MeV_0tilt_95rot_det11.npy,0.9143,0.0075,20.0733,0.0323,0.5537,0.0049,159.0,14
1,cpvert,11,11,105,0,cpvert_11MeV_0tilt_105rot_det11.npy,0.9116,0.0079,20.0557,0.0327,0.5501,0.0055,150.0,15
13,cpvert,11,11,115,0,cpvert_11MeV_0tilt_115rot_det11.npy,0.896,0.0074,20.061,0.0315,0.5433,0.0049,168.0,16
25,cpvert,11,11,125,0,cpvert_11MeV_0tilt_125rot_det11.npy,0.95,0.0048,20.1567,0.035,0.5814,0.0038,96.0,17
37,cpvert,11,11,135,0,cpvert_11MeV_0tilt_135rot_det11.npy,0.8849,0.0071,20.0134,0.0296,0.5356,0.0047,182.0,18
49,cpvert,11,11,145,0,cpvert_11MeV_0tilt_145rot_det11.npy,0.8777,0.0072,20.0841,0.0354,0.5347,0.005,148.0,19
86,cpvert,12,11,315,0,cpvert_11MeV_0tilt_315rot_det12.npy,1.8361,0.0103,19.1034,0.0454,1.1751,0.0075,180.0,0
98,cpvert,12,11,325,0,cpvert_11MeV_0tilt_325rot_det12.npy,1.8208,0.0098,19.1623,0.0424,1.1671,0.0071,172.0,1
110,cpvert,12,11,335,0,cpvert_11MeV_0tilt_335rot_det12.npy,1.8463,0.0098,19.1937,0.0387,1.1913,0.0074,178.0,2
122,cpvert,12,11,345,0,cpvert_11MeV_0tilt_345rot_det12.npy,1.8,0.0098,19.161,0.0475,1.1575,0.0072,167.0,3
134,cpvert,12,11,355,0,cpvert_11MeV_0tilt_355rot_det12.npy,1.8117,0.0105,19.2502,0.0451,1.1681,0.0076,186.0,4
182,cpvert,12,11,5,0,cpvert_11MeV_0tilt_5rot_det12.npy,1.8038,0.0098,19.0857,0.039,1.1642,0.0071,165.0,5
62,cpvert,12,11,15,0,cpvert_11MeV_0tilt_15rot_det12.npy,1.8017,0.0108,19.1061,0.0488,1.1579,0.0078,170.0,6
74,cpvert,12,11,25,0,cpvert_11MeV_0tilt_25rot_det12.npy,1.8186,0.0104,19.1956,0.0508,1.1651,0.0074,156.0,7
146,cpvert,12,11,35,0,cpvert_11MeV_0tilt_35rot_det12.npy,1.8342,0.0097,19.178,0.0423,1.178,0.0072,187.0,8
158,cpvert,12,11,45,0,cpvert_11MeV_0tilt_45rot_det12.npy,1.8513,0.0105,19.203,0.0442,1.1884,0.0076,178.0,9
170,cpvert,12,11,55,0,cpvert_11MeV_0tilt_55rot_det12.npy,1.8455,0.0093,19.1106,0.0431,1.1785,0.0067,186.0,10
194,cpvert,12,11,65,0,cpvert_11MeV_0tilt_65rot_det12.npy,1.8529,0.01,19.103,0.0428,1.1761,0.0073,192.0,11
206,cpvert,12,11,75,0,cpvert_11MeV_0tilt_75rot_det12.npy,1.8874,0.0111,19.1974,0.0458,1.1967,0.0077,206.0,12
218,cpvert,12,11,85,0,cpvert_11MeV_0tilt_85rot_det12.npy,1.8793,0.0098,19.1239,0.0428,1.1971,0.007,172.0,13
230,cpvert,12,11,95,0,cpvert_11MeV_0tilt_95rot_det12.npy,1.8503,0.012,19.0701,0.0422,1.1736,0.0083,184.0,14
2,cpvert,12,11,105,0,cpvert_11MeV_0tilt_105rot_det12.npy,1.8727,0.0098,19.1685,0.0405,1.1948,0.007,220.0,15
14,cpvert,12,11,115,0,cpvert_11MeV_0tilt_115rot_det12.npy,1.8514,0.012,19.1507,0.0466,1.1829,0.0086,170.0,16
26,cpvert,12,11,125,0,cpvert_11MeV_0tilt_125rot_det12.npy,1.8572,0.0098,19.1933,0.0454,1.1913,0.0071,172.0,17
38,cpvert,12,11,135,0,cpvert_11MeV_0tilt_135rot_det12.npy,1.8061,0.0101,19.1572,0.0459,1.1605,0.0074,168.0,18
50,cpvert,12,11,145,0,cpvert_11MeV_0tilt_145rot_det12.npy,1.7919,0.0104,19.1433,0.0441,1.1535,0.0075,163.0,19
87,cpvert,13,11,315,0,cpvert_11MeV_0tilt_315rot_det13.npy,3.0132,0.014,22.1882,0.0519,2.003,0.0109,155.0,0
99,cpvert,13,11,325,0,cpvert_11MeV_0tilt_325rot_det13.npy,2.9525,0.0124,22.124,0.0495,1.9712,0.0098,171.0,1
111,cpvert,13,11,335,0,cpvert_11MeV_0tilt_335rot_det13.npy,2.9846,0.0123,22.242,0.0567,1.9967,0.0096,151.0,2
