,crystal,det_no,energy,rotation,tilt,filename,ql_mean,ql_abs_uncert,tof_mean,tof_abs_uncert,qs_mean,qs_abs_uncert,counts,rot_order
90,cpvert,4,11,315,0,cpvert_11MeV_0tilt_315rot_det4.npy,5.3205,0.0199,40.033,0.2396,3.6366,0.0165,94.0,0
102,cpvert,4,11,325,0,cpvert_11MeV_0tilt_325rot_det4.npy,5.3118,0.0246,40.186,0.3343,3.6272,0.0188,69.0,1
114,cpvert,4,11,335,0,cpvert_11MeV_0tilt_335rot_det4.npy,5.3449,0.0151,40.057,0.2748,3.648,0.0135,90.0,2
126,cpvert,4,11,345,0,cpvert_11MeV_0tilt_345rot_det4.npy,5.328,0.0176,40.4357,0.2623,3.6426,0.0146,86.0,3
138,cpvert,4,11,355,0,cpvert_11MeV_0tilt_355rot_det4.npy,5.2885,0.0175,40.2032,0.2421,3.6219,0.0142,91.0,4
186,cpvert,4,11,5,0,cpvert_11MeV_0tilt_5rot_det4.npy,5.2808,0.0173,40.4449,0.2812,3.6429,0.0136,86.0,5
66,cpvert,4,11,15,0,cpvert_11MeV_0tilt_15rot_det4.npy,5.2018,0.0203,40.6002,0.3383,3.5999,0.0208,76.0,6
78,cpvert,4,11,25,0,cpvert_11MeV_0tilt_25rot_det4.npy,5.1687,0.0143,39.9918,0.241,3.5812,0.0123,85.0,7
150,cpvert,4,11,35,0,cpvert_11MeV_0tilt_35rot_det4.npy,5.1787,0.0139,40.6126,0.2732,3.6045,0.0129,95.0,8
162,cpvert,4,11,45,0,cpvert_11MeV_0tilt_45rot_det4.npy,5.1127,0.0178,40.5895,0.2833,3.5735,0.0159,89.0,9
174,cpvert,4,11,55,0,cpvert_11MeV_0tilt_55rot_det4.npy,5.1039,0.0163,40.3118,0.2963,3.57,0.0146,80.0,10
198,cpvert,4,11,65,0,cpvert_11MeV_0tilt_65rot_det4.npy,5.086,0.0136,40.4267,0.2526,3.5596,0.0131,99.0,11
210,cpvert,4,11,75,0,cpvert_11MeV_0tilt_75rot_det4.npy,5.1155,0.0161,40.6003,0.2435,3.57,0.014,87.0,12
222,cpvert,4,11,85,0,cpvert_11MeV_0tilt_85rot_det4.npy,5.1192,0.0161,40.3099,0.2689,3.5728,0.014,92.0,13
234,cpvert,4,11,95,0,cpvert_11MeV_0tilt_95rot_det4.npy,5.1119,0.0192,40.2244,0.323,3.5636,0.0176,73.0,14
6,cpvert,4,11,105,0,cpvert_11MeV_0tilt_105rot_det4.npy,5.1285,0.0164,40.3768,0.2686,3.5569,0.0146,95.0,15
18,cpvert,4,11,115,0,cpvert_11MeV_0tilt_115rot_det4.npy,5.1847,0.0149,40.1439,0.29,3.5945,0.0136,86.0,16
30,cpvert,4,11,125,0,cpvert_11MeV_0tilt_125rot_det4.npy,5.1905,0.0148,39.8203,0.2626,3.5861,0.0133,95.0,17
42,cpvert,4,11,135,0,cpvert_11MeV_0tilt_135rot_det4.npy,5.2495,0.0187,40.4193,0.3123,3.5948,0.0196,59.0,18
54,cpvert,4,11,145,0,cpvert_11MeV_0tilt_145rot_det4.npy,5.254,0.0183,39.9483,0.2764,3.6042,0.0145,92.0,19
91,cpvert,5,11,315,0,cpvert_11MeV_0tilt_315rot_det5.npy,4.2404,0.0144,25.1031,0.1042,2.8781,0.0114,141.0,0
